"Help improving the list! Add your findings (Form Link)
Other Feedback/Suggestions/Discoveries? You can reach out to me on Discord: prototyze AVG%","r-Index","Technology Node","Unlock
Tech Pts.","Reverse
Tech Pts.","Minimum
Tech Level","","","TL#","Invention Tech %","","Component 1","","Legend: ","","Component 2","TL = Tech Level | r-Index = Quality of Invention, based on Quantity of Components used & their Rarity (Common-Legendary)
The lower an r-Index with same Invention Tech % is at a specific Tech Level, the better (fewer resources used for Invention) ","","","Component 3","","","","Component 4","","","","Component 5","","","","Component 6","",""
"100%","0.00","Fishing Rod","30","8","Tech Level 2","","","0","Default","100%","10","","Iron Ingot","100%","20","","Wood","","","","","","","","","","","","","","","",""
"%","","Fishing Rod","30","8","Tech Level 2","","","2","","%","","","","%","","","","","","","","","","","","","","","","","","",""
"","","Lumen","30","8","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Portable MG Turret","30","8","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Raw Chaosium","30","8","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Shrapnel Grenade","30","8","Tech Level 2","","","0","Default","100%","8","","Steel Ingot","100%","5","","Stardust Source","100%","10","","Metal Scrap","100%","3","","Part","100%","1","","Mixed Explosives","","","",""
"%","","Shrapnel Grenade","30","8","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","","","",""
"100%","0.00","Thorough Healing Treatment","30","","Nope","","","0","Default","100%","3","","Stardust Source","100%","1","","Poly Detoxident","100%","2","","Electronic Part","100%","1","?","Treatment","","","","","","","",""
"100%","0.50","Whistle","30","","Tech Level 2","","","0","Default","100%","6","","Steel Ingot","","0","","Metal Scrap","","","","","","","","","","","","","","","",""
"67%","0.33","Whistle","30","","Tech Level 2","","","2","Medium","67%","4","","Steel Ingot","","1","","Metal Scrap","","","","","","","","","","","","","","","",""
"100%","0.00","Compact Water Filter","20","15","Tech Level 2","","","0","Default","100%","25","","Iron Ingot","100%","50","","Wood","100%","20","","Charcoal","100%","15","","Adhesive","100%","1","","Power Cable","","","",""
"%","","Compact Water Filter","20","15","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","","","",""
"100%","0.00","Deviation Storage Crate","20","15","Tech Level 2","","","0","Default","100%","20","","Iron Ingot","100%","15","","Rubber","100%","5","","Part","","","","","","","","","","","",""
"%","","Deviation Storage Crate","20","15","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"100%","0.00","Furnace","20","15","Tech Level 2","","","0","Default","100%","20","","Copper Ore","100%","30","","Gravel","","","","","","","","","","","","","","","",""
"%","","Furnace","20","15","Tech Level 2","","","2","","%","","","","%","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Gardening Kit","20","15","Tech Level 2","","","0","Default","100%","8","","Boiled Water","100%","3","","Spoiled Food","","","","","","","","","","","","","","","",""
"23%","0.23","Gardening Kit","20","15","Tech Level 2","","","2","Low","13%","1","","Boiled Water","33%","1","","Spoiled Food","","","","","","","","","","","","","","","",""
"115%","1.15","Gardening Kit","20","15","Tech Level 2","","","2","Medium","63%","5","","Boiled Water","167%","5","","Spoiled Food","","","","","","","","","","","","","","","",""
"%","0.00","Gardening Kit","20","15","Tech Level 2","","","4","High","%","","","Boiled Water","%","","","Spoiled Food","","","","","","","","","","","","","","","",""
"%","0.00","Gardening Kit","20","15","Tech Level 2","","","6","High","%","","","Boiled Water","%","","","Spoiled Food","","","","","","","","","","","","","","","",""
"100%","0.00","Large Storage Crate","20","15","Tech Level 2","","","0","Default","100%","20","","Iron Ingot","100%","15","","Rubber","100%","5","","Part","","","","","","","","","","","",""
"%","","Large Storage Crate","20","","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"100%","0.00","Maniken","20","15","Tech Level 2","","","0","Default","100%","30","","Wood","100%","15","","Metal Scrap","100%","15","","Adhesive","100%","15","","Rubber","100%","1","","Coat Hanger","","","",""
"%","","Maniken","20","15","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","","","",""
"100%","0.00","Morphed Circular Light","20","","Tech Level 2","","","0","Default","100%","15","","Wood","100%","1","","Electronic Part","100%","5","","Adhesive","100%","10","","Rubber","","","","","","","",""
"74%","0.74","Morphed Circular Light","20","","Tech Level 2","","","2","Medium","7%","1","","Wood","100%","1","","Electronic Part","100%","5","","Adhesive","90%","9","","Rubber","","","","","","","",""
"74%","0.74","Morphed Circular Light","20","","Tech Level 2","","","2","Medium","7%","1","","Wood","100%","1","","Electronic Part","100%","5","","Adhesive","90%","9","","Rubber","","","","","","","",""
"74%","0.74","Morphed Circular Light","20","","Tech Level 2","","","4","High","7%","1","","Wood","100%","1","","Electronic Part","100%","5","","Adhesive","90%","9","","Rubber","","","","","","","",""
"100%","0.00","Private Storage Crate","20","15","Tech Level 2","","","0","Default","100%","10","","Iron Ingot","100%","5","","Part","100%","5","","Metal Scrap","","","","","","","","","","","",""
"%","","Private Storage Crate","20","15","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"100%","0.00","Small Biomass Generator","20","","Tech Level 2","","","0","Default","100%","40","","Iron Ingot","100%","5","","Part","100%","15","","Electronic Part","100%","5","","Plastic","100%","3","","Fuse","","","",""
"%","","Small Biomass Generator","20","","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","","","",""
"100%","0.00","Grenade","7","3","Tech Level 2","","","0","Default","100%","8","","Copper Ingot","100%","3","","Part","100%","1","","Mixed Explosives","100%","3","","Plastic","","","","","","","",""
"%","","Grenade","7","3","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","","","","","","","",""
"100%","0.00","Adrenaline Shot","6","3","Tech Level 2","","","0","Default","100%","20","","Stardust Source","100%","8","","Acid","100%","1","","Glass","100%","2","","Rubber","","","","","","","",""
"%","","Adrenaline Shot","6","3","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","","","","","","","",""
"100%","0.00","Claymore Mine","6","3","Tech Level 2","","","0","Default","100%","3","","Iron Ingot","100%","2","","Electronic Part","100%","2","","Glass","100%","1","","Mixed Explosives","","","","","","","",""
"%","","Claymore Mine","6","3","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","","","","","","","",""
"","","Electricity Kit","6","15","Tech Level 2","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Electricity Kit","6","15","Tech Level 2","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Fuse","6","1","Tech Level 2","","","0","Default","100%","5","","Iron Ingot","100%","10","","Metal Scrap","100%","2","","Glass","","","","","","","","","","","",""
"%","","Fuse","6","1","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"100%","0.00","Harvesting Sickle","6","3","Tech Level 2","","","0","Default","100%","5","","Iron Ingot","100%","10","","Wood","100%","3","","Rawhide","","","","","","","","","","","",""
"%","","Harvesting Sickle","6","3","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"100%","0.00","Storage Battery","6","15","Tech Level 2","","","0","Default","100%","15","","Steel Ingot","100%","20","","Acid","100%","20","","Rubber","100%","10","","Electronic Part","","","","","","","",""
"%","","Storage Battery","6","15","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","","","","","","","",""
"100%","0.25","Wooden Weapon Body","6","","Tech Level 2","","","0","Default","","","","Acid","100%","50","","Wood","","","","Spoiled Food","","","","","","","","","","","",""
"2%","0.01","Wooden Weapon Body","6","","Tech Level 2","","","2","Medium","","1","","Acid","2%","1","","Wood","","1","","Spoiled Food","","","","","","","","","","","",""
"100%","0.00","Disassembly Bench","4","","Tech Level 2","","","0","Default","100%","20","","Copper Ore","100%","20","","Gravel","","","","","","","","","","","","","","","",""
"60%","0.60","Disassembly Bench","4","","Tech Level 2","","","2","Low","35%","7","","Copper Ore","85%","17","","Gravel","","","","","","","","","","","","","","","",""
"60%","0.60","Disassembly Bench","4","","Tech Level 2","","","2","Medium","35%","7","","Copper Ore","85%","17","","Gravel","","","","","","","","","","","","","","","",""
"60%","0.60","Disassembly Bench","4","","Tech Level 2","","","4","High","35%","7","","Copper Ore","85%","17","","Gravel","","","","","","","","","","","","","","","",""
"100%","0.00","Isolated Securement Unit","4","4","Tech Level 2","","","0","Default","100%","15","","Copper Ingot","100%","20","","Metal Scrap","100%","10","","Glass","","","","","","","","","","","",""
"7%","0.07","Isolated Securement Unit","4","4","Tech Level 2","","","2","Low","7%","1","","Copper Ingot","5%","1","","Metal Scrap","10%","1","","Glass","","","","","","","","","","","",""
"78%","0.78","Isolated Securement Unit","4","4","Tech Level 2","","","2","High","53%","8","","Copper Ingot","90%","18","","Metal Scrap","90%","9","","Glass","","","","","","","","","","","",""
"100%","0.00","Primary Supplies Workbench","4","4","Tech Level 2","","","0","Default","100%","20","","Copper Ore","100%","30","","Wood","","","","","","","","","","","","","","","",""
"100%","0.00","Primary Supplies Workbench","4","4","Tech Level 2","","","2","","100%","20","","Copper Ore","100%","30","","Wood","","","","","","","","","","","","","","","",""
"100%","0.00","Small Garage","4","4","Tech Level 2","","","0","Default","100%","13","","Iron Ingot","100%","10","","Part","","","","","","","","","","","","","","","",""
"72%","0.72","Small Garage","4","4","Tech Level 2","","","2","High","54%","7","","Iron Ingot","90%","9","","Part","","","","","","","","","","","","","","","",""
"100%","0.00","Small Storage Crate","4","4","Tech Level 2","","","0","Default","100%","30","","Wood","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"12%","0.12","Small Storage Crate","4","4","Tech Level 2","","","2","Low","3%","1","","Wood","20%","1","","Metal Scrap","","","","","","","","","","","","","","","",""
"67%","0.67","Small Storage Crate","4","4","Tech Level 2","","","2","High","33%","10","","Wood","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"","","Polar Expedition","1","1","Tech Level 2","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Polar Expedition","1","1","Tech Level 2","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Primary Stove","0","4","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Tech Research Bench","0","4","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Book","-1","40","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CPU","-1","200","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Military Flash Drive","-1","10","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
